table_id,Line,Termini,Length,Type,Maximum speed,Opening,Status,country,Length_clean,Length_km,Opening_year
32,West Coast Main Line,"Glasgow central–Euston, London",442 km (275 mi)[dz],Upgraded,201 km/h (125 mph),2005,Operational,United_Kingdom,442 km (275 mi)[dz],442,2005
32,High Speed 1,Fawkham Junction–Channel Tunnel,74 km (46 mi),New,300 km/h (190 mph)[ea],2003,Operational,United_Kingdom,74 km (46 mi),74,2003
32,High Speed 1,"St Pancras, London–Ebbsfleet",39.4 km (24.5 mi),New,230 km/h (140 mph)[eb],2007,Operational,United_Kingdom,39.4 km (24.5 mi),39.4,2007
32,Midland Main Line,"St Pancras, London / Derby / Nottingham / Chesterfield",100 km (62 mi)[ec],Upgraded,201 km/h (125 mph)[ed],2009,Operational,United_Kingdom,100 km (62 mi)[ec],100,2009
32,High Speed 2,"Euston, London–Birmingham Curzon Street",230 km (140 mi),New,360 km/h (220 mph),Uncertain (originally 2033),Under construction,United_Kingdom,230 km (140 mi),230,2033
32,High Speed 2,Crewe-Manchester,153 km (95 mi),New,300 km/h (190 mph)[ee],2040+,"Suspended, revived as a private initiative",United_Kingdom,153 km (95 mi),153,2040
33,Northeast Corridor,"Boston–Washington, D.C.",80.3 km (50 mi)[ef],Upgraded,260 km/h (160 mph),1969,Operational,United_States,80.3 km (50 mi)[ef],80.3,1969
33,Brightline,Orlando Airport–Cocoa,56.3 km (35 mi)[eg],New[eh],201 km/h (125 mph)[ei],2023,Operational,United_States,56.3 km (35 mi)[eg],56.3,2023
33,California HSR,San Francisco–Los Angeles[ej],275 km (171 mi)[ek],New[el],354 km/h (220 mph)[em],2031–2033[en],Under construction,United_States,275 km (171 mi)[ek],275,2031
33,Brightline West,Las Vegas–Los Angeles[eo],351 km (218 mi),New,322 km/h (200 mph),2029,Under construction,United_States,351 km (218 mi),351,2029
