"","table_id","Line","Termini","Length","Type","Maximum speed","Opening","Status","country"
"76","11","Bandırma–Bursa–Osmaneli line (in Turkish)","Bandırma–Bursa–Osmaneli","201 km (125 mi)","Partly new","200 km/h (120 mph)","2025–2028","Undergoing upgrade","Turkey"
"77","11","Istanbul–Kapıkule railway","Halkalı–Kapıkule","229 km (142 mi)","Partly new","200 km/h (120 mph)","2025–2028","Undergoing upgrade","Turkey"
"78","11","Mersin–Adana–Gaziantep railway","Mersin–Gaziantep","311 km (193 mi)","Upgraded","200 km/h (120 mph)","2027","Undergoing upgrade","Turkey"
"79","11","Polatlı–İzmir","Polatlı–Alsancak","505 km (314 mi)","New","250 km/h (160 mph)","2027","Under construction","Turkey"
"80","11","Yerköy–Kayseri railway (in Turkish)","Yerköy–Kayseri","142 km (88 mi)","New","250 km/h (160 mph)","2028","Under construction","Turkey"
"81","11","Kırıkkale–Çorum–Samsun[46]","Kırıkkale Delice–Samsun","293 km (182 mi)","New","250 km/h (160 mph)","2028","Under construction","Turkey"
"82","11","Sivas-Zara line (in Turkish)","Sivas-Zara","74 km (46 mi)","New","250 km/h (160 mph)","2028","Under construction","Turkey"
"83","12","Tashkent–Bukhara","Tashkent–Bukhara","600 km (370 mi)","New","250 km/h (160 mph)","2011","Operational","Uzbekistan"
"84","12","Bhukhara–Khiva","Bukhara-Khiva","465 km (289 mi)","New","250 km/h (160 mph)","2030","Under Construction","Uzbekistan"
"85","13","Western Railway","Vienna–Salzburg","243 km (151 mi)[bv]","Upgraded","230 km/h (140 mph)","1990–2018","Operational","Austria"
"86","13","New Lower Inn Valley Railway","Kundl–Baumkirchen","40.2 km (25.0 mi)","New","220 km/h (140 mph)","2012","Operational","Austria"
"87","13","New Lower Inn Valley Railway","Brannenburg-Kundl","25 km (16 mi)","New","250 km/h (160 mph)","TBD","Under construction","Austria"
"88","13","Koralm Railway","Graz–Klagenfurt","127 km (79 mi)","New","250 km/h (160 mph)","2025","Operational","Austria"
"89","13","Marchegger eastern railway [de]","Vienna–Slovenia border","38 km (24 mi)","Upgraded","200 km/h (120 mph)","2026","Undergoing upgrade","Austria"
"90","13","Pottendorfer Line [de]","Vienna–Wiener Neustadt","47 km (29 mi)","Upgraded","200 km/h (120 mph)","2029[47]","Undergoing upgrade","Austria"
"91","13","Semmering Base Tunnel","Gloggnitz–Mürzzuschlag","27.3 km (17.0 mi)","New","230 km/h (140 mph)","2030","Under construction","Austria"
"92","13","North railway line","Gänserndorf–Břeclav","47 km (29 mi)","Upgraded","200 km/h (120 mph)","2030","Undergoing upgrade","Austria"
"93","13","Brenner Base Tunnel","Innsbruck–Italy border","46 km (29 mi)","New","250 km/h (160 mph)","2032","Under construction","Austria"
"94","14","Rail Baltica","Tallinn–Vilnius","870 km (540 mi)","New","234 km/h (145 mph)","2028[bw]–2030[bx]–2032[by]","Under construction","Baltic_States"
