"","name","round1","round2","round3","round4","round5","round6","year","seed","team.id","TEAM.NO"
"72","Dayton",0.347,0.045,0.015,0.005,0.002,0.001,2017,NA,NA,NA
"73","Duke",0.955,0.874,0.691,0.389,0.254,0.12,2017,NA,NA,NA
"74","ETSU",0.164,0.044,0.008,0.003,0.001,0.001,2017,NA,NA,NA
"75","FGCU",0.186,0.073,0.013,0.005,0.002,0.001,2017,NA,NA,NA
"76","Florida",0.836,0.478,0.093,0.035,0.016,0.007,2017,NA,NA,NA
"77","FSU",0.814,0.572,0.164,0.063,0.019,0.007,2017,NA,NA,NA
"78","Gonzaga",0.957,0.857,0.594,0.346,0.155,0.085,2017,NA,NA,NA
"79","Iona",0.075,0.026,0.007,0.003,0.001,0.001,2017,NA,NA,NA
"80","Iowa State",0.773,0.414,0.1,0.04,0.011,0.005,2017,NA,NA,NA
"81","Jacksonville St",0.047,0.019,0.011,0.003,0.001,0.001,2017,NA,NA,NA
"82","Kansas",0.966,0.857,0.707,0.488,0.226,0.111,2017,NA,NA,NA
"83","Kent State",0.056,0.023,0.007,0.003,0.001,0.001,2017,NA,NA,NA
"84","Kentucky",0.958,0.798,0.443,0.217,0.136,0.073,2017,NA,NA,NA
"85","KSU",0.254,0.039,0.011,0.004,0.002,0.001,2017,NA,NA,NA
"86","Louisville",0.953,0.687,0.472,0.198,0.067,0.031,2017,NA,NA,NA
"87","Marquette",0.559,0.059,0.023,0.007,0.003,0.001,2017,NA,NA,NA
"88","Maryland",0.565,0.202,0.047,0.016,0.005,0.003,2017,NA,NA,NA
"89","Miami",0.486,0.055,0.026,0.009,0.004,0.002,2017,NA,NA,NA
"90","Michigan",0.732,0.242,0.14,0.052,0.019,0.011,2017,NA,NA,NA
"91","Michigan State",0.514,0.072,0.039,0.016,0.007,0.004,2017,NA,NA,NA
"92","Mid Tennessee",0.429,0.146,0.017,0.005,0.002,0.001,2017,NA,NA,NA
"93","Minnesota",0.571,0.201,0.028,0.01,0.004,0.002,2017,NA,NA,NA
"94","MSM",0.032,0.015,0.009,0.006,0.002,0.001,2017,NA,NA,NA
"95","N Kentucky",0.042,0.019,0.01,0.004,0.002,0.001,2017,NA,NA,NA
"96","Nevada",0.227,0.067,0.011,0.004,0.002,0.001,2017,NA,NA,NA
"97","New Mexico St",0.12,0.034,0.008,0.003,0.001,0.001,2017,NA,NA,NA
"98","North Dakota",0.049,0.021,0.011,0.004,0.002,0.001,2017,NA,NA,NA
"99","Northwestern",0.5,0.064,0.022,0.008,0.003,0.002,2017,NA,NA,NA
"100","Notre Dame",0.808,0.436,0.169,0.059,0.018,0.007,2017,NA,NA,NA
"101","Oklahoma State",0.268,0.052,0.021,0.007,0.002,0.001,2017,NA,NA,NA
"102","Oregon",0.925,0.707,0.291,0.11,0.035,0.016,2017,NA,NA,NA
"103","Princeton",0.192,0.052,0.012,0.005,0.002,0.001,2017,NA,NA,NA
"104","Purdue",0.844,0.47,0.099,0.043,0.014,0.006,2017,NA,NA,NA
"105","Saint Mary's",0.581,0.105,0.057,0.018,0.006,0.002,2017,NA,NA,NA
"106","Seton Hall",0.504,0.037,0.016,0.005,0.002,0.001,2017,NA,NA,NA
"107","SMU",0.816,0.386,0.095,0.026,0.009,0.004,2017,NA,NA,NA
"108","South Carolina",0.441,0.048,0.018,0.006,0.003,0.001,2017,NA,NA,NA
"109","South Dakota St",0.043,0.018,0.01,0.006,0.003,0.002,2017,NA,NA,NA
"110","Texas Southern",0.036,0.017,0.01,0.006,0.003,0.001,2017,NA,NA,NA
"111","Troy",0.045,0.019,0.011,0.003,0.001,0.001,2017,NA,NA,NA
"112","UC Davis",0.034,0.016,0.009,0.006,0.002,0.001,2017,NA,NA,NA
"113","UCLA",0.944,0.794,0.421,0.232,0.148,0.079,2017,NA,NA,NA
"114","UNC",0.964,0.909,0.799,0.43,0.266,0.152,2017,NA,NA,NA
"115","UNC Wilmington",0.231,0.07,0.009,0.004,0.002,0.001,2017,NA,NA,NA
"116","URI",0.396,0.109,0.02,0.006,0.002,0.001,2017,NA,NA,NA
"117","USC",0.184,0.048,0.01,0.004,0.002,0.001,2017,NA,NA,NA
"118","UVA",0.769,0.408,0.08,0.03,0.013,0.006,2017,NA,NA,NA
"119","Vanderbilt",0.5,0.061,0.02,0.007,0.003,0.001,2017,NA,NA,NA
"120","VCU",0.419,0.047,0.018,0.005,0.002,0.001,2017,NA,NA,NA
"121","Vermont",0.156,0.048,0.01,0.004,0.002,0.001,2017,NA,NA,NA
"122","Villanova",0.968,0.86,0.736,0.41,0.256,0.13,2017,NA,NA,NA
"123","Virginia Tech",0.323,0.034,0.015,0.006,0.003,0.001,2017,NA,NA,NA
"124","West Virginia",0.882,0.479,0.165,0.067,0.023,0.01,2017,NA,NA,NA
"125","Wichita State",0.653,0.138,0.05,0.02,0.009,0.004,2017,NA,NA,NA
"126","Winthrop",0.111,0.035,0.008,0.003,0.001,0.001,2017,NA,NA,NA
"127","Wisconsin",0.677,0.091,0.051,0.019,0.009,0.005,2017,NA,NA,NA
"128","Xavier",0.435,0.153,0.032,0.009,0.003,0.001,2017,NA,NA,NA
"129","Alabama",0.493,0.058,0.029,0.014,0.005,0.003,2018,NA,NA,NA
"130","Arizona",0.902,0.581,0.233,0.18,0.109,0.049,2018,NA,NA,NA
"131","Arkansas",0.42,0.076,0.03,0.008,0.003,0.002,2018,NA,NA,NA
"132","Auburn",0.87,0.504,0.105,0.027,0.01,0.004,2018,NA,NA,NA
"133","Bucknell",0.061,0.025,0.007,0.003,0.001,0.001,2018,NA,NA,NA
"134","Buffalo",0.098,0.03,0.008,0.003,0.001,0.001,2018,NA,NA,NA
"135","Butler",0.58,0.119,0.053,0.011,0.004,0.002,2018,NA,NA,NA
"136","Charleston",0.13,0.035,0.008,0.003,0.001,0.001,2018,NA,NA,NA
"137","Cincinnati",0.929,0.774,0.531,0.136,0.062,0.025,2018,NA,NA,NA
"138","Clemson",0.714,0.353,0.068,0.018,0.007,0.003,2018,NA,NA,NA
"139","Creighton",0.566,0.047,0.016,0.007,0.003,0.001,2018,NA,NA,NA
"140","CSU Fullerton",0.043,0.018,0.01,0.003,0.001,0.001,2018,NA,NA,NA
"141","Davidson",0.207,0.053,0.012,0.005,0.002,0.001,2018,NA,NA,NA
"142","Duke",0.959,0.839,0.482,0.302,0.175,0.098,2018,NA,NA,NA
"143","Florida",0.775,0.338,0.105,0.023,0.008,0.004,2018,NA,NA,NA
"144","FSU",0.467,0.07,0.023,0.008,0.003,0.001,2018,NA,NA,NA
"145","Georgia State",0.071,0.027,0.013,0.004,0.002,0.001,2018,NA,NA,NA
"146","Gonzaga",0.925,0.694,0.35,0.146,0.055,0.022,2018,NA,NA,NA
"147","Houston",0.664,0.172,0.05,0.018,0.005,0.002,2018,NA,NA,NA
"148","Iona",0.041,0.017,0.009,0.003,0.002,0.001,2018,NA,NA,NA
"149","Kansas",0.951,0.857,0.736,0.298,0.147,0.079,2018,NA,NA,NA
"150","KSU",0.435,0.041,0.014,0.006,0.003,0.001,2018,NA,NA,NA
"151","Kentucky",0.793,0.336,0.123,0.082,0.04,0.02,2018,NA,NA,NA
"152","Lipscomb",0.041,0.019,0.01,0.003,0.002,0.001,2018,NA,NA,NA
"153","Loyola-Chicago",0.356,0.095,0.019,0.005,0.002,0.001,2018,NA,NA,NA
"154","Marshall",0.135,0.037,0.008,0.004,0.002,0.001,2018,NA,NA,NA
"155","Miami",0.644,0.234,0.085,0.014,0.005,0.002,2018,NA,NA,NA
"156","Michigan",0.933,0.743,0.32,0.191,0.081,0.038,2018,NA,NA,NA
"157","Michigan State",0.939,0.821,0.412,0.284,0.164,0.086,2018,NA,NA,NA
"158","Missouri",0.533,0.1,0.038,0.011,0.004,0.002,2018,NA,NA,NA
"159","Montana",0.067,0.024,0.007,0.003,0.001,0.001,2018,NA,NA,NA
"160","Murray State",0.174,0.046,0.008,0.003,0.001,0.001,2018,NA,NA,NA
"161","NC State",0.52,0.065,0.031,0.008,0.004,0.002,2018,NA,NA,NA
"162","Nevada",0.462,0.087,0.031,0.006,0.002,0.001,2018,NA,NA,NA
"163","New Mexico St",0.286,0.108,0.014,0.004,0.002,0.001,2018,NA,NA,NA
"164","Oklahoma",0.494,0.071,0.026,0.012,0.006,0.003,2018,NA,NA,NA
"165","OSU",0.761,0.242,0.087,0.028,0.01,0.005,2018,NA,NA,NA
"166","Penn",0.049,0.022,0.011,0.006,0.003,0.002,2018,NA,NA,NA
"167","Providence",0.492,0.063,0.021,0.007,0.003,0.001,2018,NA,NA,NA
