"","BracketID","TotalPoints","Model","Year"
"199",99,41,"Logistic",2021
"200",100,45,"Logistic",2021
"201",1,46,"XGBoost",2021
"202",2,40,"XGBoost",2021
"203",3,38,"XGBoost",2021
"204",4,37,"XGBoost",2021
"205",5,38,"XGBoost",2021
"206",6,41,"XGBoost",2021
"207",7,40,"XGBoost",2021
"208",8,40,"XGBoost",2021
"209",9,35,"XGBoost",2021
"210",10,36,"XGBoost",2021
"211",11,33,"XGBoost",2021
"212",12,45,"XGBoost",2021
"213",13,47,"XGBoost",2021
"214",14,45,"XGBoost",2021
"215",15,41,"XGBoost",2021
"216",16,42,"XGBoost",2021
"217",17,40,"XGBoost",2021
"218",18,47,"XGBoost",2021
"219",19,35,"XGBoost",2021
"220",20,49,"XGBoost",2021
"221",21,41,"XGBoost",2021
"222",22,41,"XGBoost",2021
"223",23,46,"XGBoost",2021
"224",24,40,"XGBoost",2021
"225",25,48,"XGBoost",2021
"226",26,40,"XGBoost",2021
"227",27,43,"XGBoost",2021
"228",28,37,"XGBoost",2021
"229",29,36,"XGBoost",2021
"230",30,34,"XGBoost",2021
"231",31,54,"XGBoost",2021
"232",32,39,"XGBoost",2021
"233",33,42,"XGBoost",2021
"234",34,41,"XGBoost",2021
"235",35,42,"XGBoost",2021
"236",36,40,"XGBoost",2021
"237",37,37,"XGBoost",2021
"238",38,42,"XGBoost",2021
"239",39,47,"XGBoost",2021
"240",40,52,"XGBoost",2021
"241",41,46,"XGBoost",2021
"242",42,43,"XGBoost",2021
"243",43,34,"XGBoost",2021
"244",44,40,"XGBoost",2021
"245",45,42,"XGBoost",2021
"246",46,42,"XGBoost",2021
"247",47,40,"XGBoost",2021
"248",48,42,"XGBoost",2021
"249",49,40,"XGBoost",2021
"250",50,36,"XGBoost",2021
"251",51,31,"XGBoost",2021
"252",52,32,"XGBoost",2021
"253",53,36,"XGBoost",2021
"254",54,50,"XGBoost",2021
"255",55,49,"XGBoost",2021
"256",56,37,"XGBoost",2021
"257",57,42,"XGBoost",2021
"258",58,44,"XGBoost",2021
"259",59,41,"XGBoost",2021
"260",60,36,"XGBoost",2021
"261",61,43,"XGBoost",2021
"262",62,41,"XGBoost",2021
"263",63,32,"XGBoost",2021
"264",64,42,"XGBoost",2021
"265",65,37,"XGBoost",2021
"266",66,36,"XGBoost",2021
"267",67,37,"XGBoost",2021
"268",68,39,"XGBoost",2021
"269",69,35,"XGBoost",2021
"270",70,38,"XGBoost",2021
"271",71,36,"XGBoost",2021
"272",72,38,"XGBoost",2021
"273",73,41,"XGBoost",2021
"274",74,31,"XGBoost",2021
"275",75,40,"XGBoost",2021
"276",76,38,"XGBoost",2021
"277",77,50,"XGBoost",2021
"278",78,39,"XGBoost",2021
"279",79,45,"XGBoost",2021
"280",80,34,"XGBoost",2021
"281",81,39,"XGBoost",2021
"282",82,50,"XGBoost",2021
"283",83,36,"XGBoost",2021
"284",84,34,"XGBoost",2021
"285",85,45,"XGBoost",2021
"286",86,38,"XGBoost",2021
"287",87,41,"XGBoost",2021
"288",88,41,"XGBoost",2021
"289",89,36,"XGBoost",2021
"290",90,42,"XGBoost",2021
"291",91,49,"XGBoost",2021
"292",92,42,"XGBoost",2021
"293",93,41,"XGBoost",2021
"294",94,38,"XGBoost",2021
"295",95,51,"XGBoost",2021
"296",96,44,"XGBoost",2021
"297",97,36,"XGBoost",2021
"298",98,36,"XGBoost",2021
"299",99,46,"XGBoost",2021
"300",100,45,"XGBoost",2021
"301",1,38,"Consensus",2021
"302",2,38,"Consensus",2021
"303",3,42,"Consensus",2021
"304",4,37,"Consensus",2021
"305",5,39,"Consensus",2021
"306",6,47,"Consensus",2021
"307",7,45,"Consensus",2021
"308",8,29,"Consensus",2021
"309",9,44,"Consensus",2021
"310",10,36,"Consensus",2021
"311",11,43,"Consensus",2021
"312",12,32,"Consensus",2021
"313",13,37,"Consensus",2021
"314",14,37,"Consensus",2021
"315",15,48,"Consensus",2021
"316",16,34,"Consensus",2021
"317",17,41,"Consensus",2021
"318",18,40,"Consensus",2021
"319",19,34,"Consensus",2021
"320",20,44,"Consensus",2021
"321",21,36,"Consensus",2021
"322",22,37,"Consensus",2021
"323",23,35,"Consensus",2021
"324",24,44,"Consensus",2021
"325",25,43,"Consensus",2021
"326",26,37,"Consensus",2021
"327",27,39,"Consensus",2021
"328",28,42,"Consensus",2021
"329",29,37,"Consensus",2021
"330",30,35,"Consensus",2021
"331",31,40,"Consensus",2021
"332",32,43,"Consensus",2021
"333",33,41,"Consensus",2021
"334",34,36,"Consensus",2021
"335",35,37,"Consensus",2021
"336",36,34,"Consensus",2021
"337",37,45,"Consensus",2021
"338",38,34,"Consensus",2021
"339",39,36,"Consensus",2021
"340",40,42,"Consensus",2021
"341",41,37,"Consensus",2021
"342",42,40,"Consensus",2021
"343",43,34,"Consensus",2021
"344",44,39,"Consensus",2021
"345",45,49,"Consensus",2021
"346",46,42,"Consensus",2021
"347",47,35,"Consensus",2021
"348",48,43,"Consensus",2021
"349",49,39,"Consensus",2021
"350",50,39,"Consensus",2021
"351",51,40,"Consensus",2021
"352",52,33,"Consensus",2021
"353",53,42,"Consensus",2021
"354",54,40,"Consensus",2021
"355",55,43,"Consensus",2021
"356",56,39,"Consensus",2021
"357",57,43,"Consensus",2021
"358",58,35,"Consensus",2021
"359",59,40,"Consensus",2021
"360",60,32,"Consensus",2021
"361",61,41,"Consensus",2021
"362",62,44,"Consensus",2021
"363",63,32,"Consensus",2021
"364",64,43,"Consensus",2021
"365",65,40,"Consensus",2021
"366",66,37,"Consensus",2021
"367",67,39,"Consensus",2021
"368",68,31,"Consensus",2021
"369",69,44,"Consensus",2021
"370",70,34,"Consensus",2021
"371",71,47,"Consensus",2021
"372",72,38,"Consensus",2021
"373",73,38,"Consensus",2021
"374",74,39,"Consensus",2021
"375",75,39,"Consensus",2021
"376",76,36,"Consensus",2021
"377",77,40,"Consensus",2021
"378",78,49,"Consensus",2021
"379",79,38,"Consensus",2021
"380",80,42,"Consensus",2021
"381",81,45,"Consensus",2021
"382",82,46,"Consensus",2021
"383",83,42,"Consensus",2021
"384",84,36,"Consensus",2021
"385",85,47,"Consensus",2021
"386",86,37,"Consensus",2021
"387",87,41,"Consensus",2021
"388",88,36,"Consensus",2021
"389",89,44,"Consensus",2021
"390",90,38,"Consensus",2021
"391",91,38,"Consensus",2021
"392",92,36,"Consensus",2021
"393",93,37,"Consensus",2021
"394",94,38,"Consensus",2021
"395",95,49,"Consensus",2021
"396",96,37,"Consensus",2021
"397",97,32,"Consensus",2021
"398",98,39,"Consensus",2021
"399",99,40,"Consensus",2021
"400",100,43,"Consensus",2021
"401",1,31,"Linear PCA",2021
"402",2,29,"Linear PCA",2021
"403",3,32,"Linear PCA",2021
"404",4,28,"Linear PCA",2021
"405",5,26,"Linear PCA",2021
"406",6,38,"Linear PCA",2021
"407",7,40,"Linear PCA",2021
"408",8,28,"Linear PCA",2021
"409",9,27,"Linear PCA",2021
"410",10,31,"Linear PCA",2021
"411",11,26,"Linear PCA",2021
"412",12,31,"Linear PCA",2021
"413",13,35,"Linear PCA",2021
"414",14,36,"Linear PCA",2021
"415",15,28,"Linear PCA",2021
"416",16,34,"Linear PCA",2021
"417",17,25,"Linear PCA",2021
"418",18,35,"Linear PCA",2021
"419",19,25,"Linear PCA",2021
"420",20,30,"Linear PCA",2021
"421",21,32,"Linear PCA",2021
"422",22,36,"Linear PCA",2021
"423",23,24,"Linear PCA",2021
"424",24,34,"Linear PCA",2021
"425",25,28,"Linear PCA",2021
"426",26,35,"Linear PCA",2021
"427",27,31,"Linear PCA",2021
"428",28,22,"Linear PCA",2021
"429",29,38,"Linear PCA",2021
"430",30,25,"Linear PCA",2021
"431",31,41,"Linear PCA",2021
